Ep   55/1500 | Reward=  -51.32 | EpBest=  2878.5万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 2.05% | Imp= 0 | MILP= 15 | ALoss=-0.0969 CLoss=91.2850 | LR=1.0e-04 | Time=894s
Ep   56/1500 | Reward= -129.99 | EpBest=  3247.6万 | GlobalBest=  2715.8万 | LPSP= 0.13% | LREG= 6.49% | Imp= 4 | MILP= 24 | ALoss=-0.1082 CLoss=1240.0630 | LR=1.0e-04 | Time=911s
Ep   57/1500 | Reward=  -71.17 | EpBest=  3235.6万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 3.61% | Imp= 5 | MILP= 20 | ALoss=-0.0949 CLoss=100.8613 | LR=1.0e-04 | Time=920s
Ep   58/1500 | Reward= -145.75 | EpBest=  4189.8万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG=11.84% | Imp= 2 | MILP= 28 | ALoss=-0.1182 CLoss=209.1820 | LR=1.0e-04 | Time=934s
Ep   59/1500 | Reward= -117.24 | EpBest=  3853.5万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 7.08% | Imp= 4 | MILP= 27 | ALoss=-0.1061 CLoss=139.4568 | LR=1.0e-04 | Time=946s
Ep   60/1500 | Reward= -260.38 | EpBest=  3523.6万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 7.54% | Imp= 6 | MILP= 25 | ALoss=-0.1380 CLoss=2155.4458 | LR=1.0e-04 | Time=960s
Ep   61/1500 | Reward=  -63.49 | EpBest=  3706.2万 | GlobalBest=  2715.8万 | LPSP= 0.36% | LREG=13.74% | Imp= 0 | MILP= 15 | ALoss=-0.1251 CLoss=249.1139 | LR=1.0e-04 | Time=966s
Ep   62/1500 | Reward=  -82.50 | EpBest=  3324.2万 | GlobalBest=  2715.8万 | LPSP= 0.04% | LREG= 4.67% | Imp= 5 | MILP= 20 | ALoss=-0.1003 CLoss=119.8565 | LR=1.0e-04 | Time=978s
Ep   63/1500 | Reward=  -81.86 | EpBest=  3281.5万 | GlobalBest=  2715.8万 | LPSP= 0.22% | LREG=11.35% | Imp= 5 | MILP= 20 | ALoss=-0.1254 CLoss=210.3454 | LR=1.0e-04 | Time=990s
Ep   64/1500 | Reward= -198.05 | EpBest=  3742.7万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 8.55% | Imp= 5 | MILP= 35 | ALoss=-0.1029 CLoss=610.3608 | LR=1.0e-04 | Time=1006s
Ep   65/1500 | Reward= -178.93 | EpBest=  3953.2万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 7.27% | Imp=11 | MILP= 38 | ALoss=-0.1129 CLoss=533.2975 | LR=1.0e-04 | Time=1024s
Ep   66/1500 | Reward=  -72.01 | EpBest=  3444.1万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 8.59% | Imp= 4 | MILP= 19 | ALoss=-0.1029 CLoss=82.7056 | LR=1.0e-04 | Time=1034s
Ep   67/1500 | Reward= -135.79 | EpBest=  4043.1万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG=11.78% | Imp= 3 | MILP= 28 | ALoss=-0.1096 CLoss=264.6242 | LR=1.0e-04 | Time=1047s
Ep   68/1500 | Reward=  -74.68 | EpBest=  3242.1万 | GlobalBest=  2715.8万 | LPSP= 0.22% | LREG= 2.54% | Imp= 3 | MILP= 19 | ALoss=-0.1124 CLoss=63.2325 | LR=9.9e-05 | Time=1060s
Ep   69/1500 | Reward= -106.70 | EpBest=  3135.3万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 5.65% | Imp= 5 | MILP= 27 | ALoss=-0.1167 CLoss=132.7986 | LR=9.9e-05 | Time=1074s
Ep   70/1500 | Reward=  -54.45 | EpBest=  3214.3万 | GlobalBest=  2715.8万 | LPSP= 0.00% | LREG= 2.21% | Imp= 0 | MILP= 15 | ALoss=-0.1072 CLoss=138.9813 | LR=9.9e-05 | Time=1081s
Ep   71/1500 | Reward=  -53.01 | EpBest=  2588.8万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 1.49% | Imp= 0 | MILP= 15 | ALoss=-0.1039 CLoss=77.1751 | LR=9.9e-05 | Time=1090s
Ep   72/1500 | Reward=  -76.78 | EpBest=  3197.8万 | GlobalBest=  2588.8万 | LPSP=-0.00% | LREG= 1.08% | Imp= 4 | MILP= 20 | ALoss=-0.0958 CLoss=102.1410 | LR=9.9e-05 | Time=1099s
Ep   73/1500 | Reward=  -63.72 | EpBest=  3202.5万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 3.50% | Imp= 1 | MILP= 16 | ALoss=-0.1250 CLoss=152.1283 | LR=9.9e-05 | Time=1107s
Ep   74/1500 | Reward=  -93.38 | EpBest=  3237.7万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 7.07% | Imp= 5 | MILP= 23 | ALoss=-0.1029 CLoss=151.3346 | LR=9.9e-05 | Time=1119s
Ep   75/1500 | Reward= -155.32 | EpBest=  3181.6万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 1.45% | Imp= 4 | MILP= 21 | ALoss=-0.1150 CLoss=553.2016 | LR=9.9e-05 | Time=1132s
Ep   76/1500 | Reward=  -97.58 | EpBest=  3368.2万 | GlobalBest=  2588.8万 | LPSP= 0.11% | LREG= 2.87% | Imp= 6 | MILP= 21 | ALoss=-0.0861 CLoss=137.2153 | LR=9.9e-05 | Time=1148s
Ep   77/1500 | Reward=  -82.38 | EpBest=  3123.6万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 1.23% | Imp= 6 | MILP= 23 | ALoss=-0.0933 CLoss=57.7830 | LR=9.9e-05 | Time=1166s
Ep   78/1500 | Reward=  -63.12 | EpBest=  3150.4万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 6.20% | Imp= 2 | MILP= 17 | ALoss=-0.1076 CLoss=57.3575 | LR=9.9e-05 | Time=1175s
Ep   79/1500 | Reward= -229.37 | EpBest=  3239.2万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 6.61% | Imp= 7 | MILP= 25 | ALoss=-0.1177 CLoss=493.3205 | LR=9.9e-05 | Time=1197s
Ep   80/1500 | Reward=  -95.22 | EpBest=  3662.7万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 8.52% | Imp= 7 | MILP= 22 | ALoss=-0.0917 CLoss=83.8316 | LR=9.9e-05 | Time=1208s
Ep   81/1500 | Reward= -127.59 | EpBest=  3382.4万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 6.10% | Imp= 8 | MILP= 30 | ALoss=-0.1054 CLoss=167.7088 | LR=9.9e-05 | Time=1228s
Ep   82/1500 | Reward=  -76.68 | EpBest=  3443.3万 | GlobalBest=  2588.8万 | LPSP= 0.04% | LREG= 5.73% | Imp= 3 | MILP= 19 | ALoss=-0.1108 CLoss=71.3246 | LR=9.9e-05 | Time=1237s
Ep   83/1500 | Reward=  -97.50 | EpBest=  3233.2万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 1.86% | Imp= 5 | MILP= 21 | ALoss=-0.0744 CLoss=296.6693 | LR=9.9e-05 | Time=1248s
Ep   84/1500 | Reward=  -98.87 | EpBest=  3737.3万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG=10.83% | Imp= 6 | MILP= 22 | ALoss=-0.0735 CLoss=158.9865 | LR=9.9e-05 | Time=1259s
Ep   85/1500 | Reward=  -68.91 | EpBest=  3700.7万 | GlobalBest=  2588.8万 | LPSP= 0.03% | LREG= 8.15% | Imp= 2 | MILP= 17 | ALoss=-0.0880 CLoss=64.0449 | LR=9.9e-05 | Time=1267s
Ep   86/1500 | Reward=  -87.08 | EpBest=  3263.6万 | GlobalBest=  2588.8万 | LPSP= 0.16% | LREG= 2.77% | Imp= 6 | MILP= 22 | ALoss=-0.1322 CLoss=47.3379 | LR=9.9e-05 | Time=1278s
Ep   87/1500 | Reward= -658.60 | EpBest=  3083.6万 | GlobalBest=  2588.8万 | LPSP= 0.00% | LREG= 5.63% | Imp= 6 | MILP= 29 | ALoss=-0.1136 CLoss=10443.6602 | LR=9.9e-05 | Time=1295s
Ep   88/1500 | Reward=  -55.06 | EpBest=  2895.8万 | GlobalBest=  2588.8万 | LPSP= 0.17% | LREG= 2.70% | Imp= 1 | MILP= 16 | ALoss=-0.1301 CLoss=50.7941 | LR=9.9e-05 | Time=1308s
